,Rating,Plays,Playing,Backlogs,Wishlist,Lists,Reviews,Release_Date,Genres,Release Year
12926,3.2,77,0,20,11,16,3,"Nov 16, 2006","[""'Brawler'"", ""'Strategy'""]",2006
12927,3.6,98,1,4,4,4,5,"Mar 01, 2017","[""'Card & Board Game'""]",2017
12928,1.6,45,0,28,7,5,0,"Nov 20, 2008","[""'RPG'""]",2008
12929,2.2,30,0,17,6,15,1,"Dec 01, 1990","[""'Platform'""]",1990
12930,3.0,42,0,18,9,13,2,"Apr 29, 2014","[""'Arcade'"", ""'Shooter'""]",2014
12931,2.3,4,0,2,4,1,0,"Apr 25, 1997","[""'Brawler'""]",1997
12932,3.2,1,0,1,1,1,0,TBD,[],2024
12933,2.3,11,0,4,3,4,1,"Apr 10, 2020","[""'Arcade'"", ""'Shooter'""]",2020
12934,2.8,141,4,53,31,42,9,"Oct 01, 2004","[""'Platform'""]",2004
12935,2.9,149,6,137,39,53,5,"Jul 28, 2017","[""'Adventure'"", ""'Indie'"", ""'Platform'""]",2017
12936,2.6,64,1,15,10,25,8,"May 21, 2001","[""'Arcade'"", ""'Shooter'""]",2001
12937,3.2,4,0,12,0,10,0,"May 26, 2016","[""'Indie'"", ""'Strategy'""]",2016
12938,2.2,26,0,4,4,16,5,"Feb 01, 1992","[""'Puzzle'""]",1992
12939,3.2,2,0,2,0,1,1,"Mar 29, 1987","[""'Sport'""]",1987
12940,3.2,2,0,0,0,1,0,"May 29, 2014","[""'Adventure'""]",2014
12941,3.2,1,0,0,0,0,0,TBD,[],2024
12942,3.2,2,0,1,0,0,0,"Nov 23, 2017","[""'Adventure'"", ""'Indie'""]",2017
12943,3.2,1,0,0,0,1,0,"Mar 01, 2019","[""'Indie'"", ""'Platform'"", ""'Puzzle'""]",2019
12944,3.7,6,0,2,0,0,1,"May 24, 2021","[""'Arcade'"", ""'Puzzle'"", ""'Strategy'""]",2021
12945,3.2,3,0,0,1,3,1,"Dec 31, 2014",[],2014
12946,3.1,224,4,90,54,61,7,"Sep 23, 1994","[""'Adventure'"", ""'Platform'"", ""'Puzzle'""]",1994
12947,3.8,340,11,59,18,44,10,"Aug 19, 2014","[""'Adventure'"", ""'Brawler'"", ""'RPG'"", ""'Strategy'""]",2014
12948,2.2,90,0,8,2,12,3,"Oct 29, 2012","[""'Indie'"", ""'Shooter'""]",2012
12949,2.9,283,0,37,20,38,5,"Jan 03, 1987","[""'Arcade'"", ""'Brawler'""]",1987
12950,3.1,46,0,27,6,23,2,"Dec 31, 1991","[""'Adventure'"", ""'Puzzle'""]",1991
12951,2.8,10,0,2,1,6,0,"May 31, 1998","[""'Racing'""]",1998
12952,3.2,70,2,21,8,21,4,"Oct 18, 2001","[""'Puzzle'""]",2001
12953,3.2,2,0,1,0,0,0,"Dec 31, 2018",[],2018
12954,3.4,12,0,8,9,5,2,"Nov 29, 2018","[""'Arcade'"", ""'Fighting'"", ""'Shooter'""]",2018
12955,3.2,11,0,6,10,6,1,"May 17, 2018","[""'Adventure'"", ""'Puzzle'""]",2018
12956,2.5,643,18,154,28,87,108,"Nov 06, 2019","[""'Arcade'"", ""'Racing'"", ""'Sport'""]",2019
12957,3.3,32,7,20,21,10,0,"Oct 22, 2020","[""'Indie'"", ""'RPG'"", ""'Shooter'""]",2020
12958,3.4,39,1,11,1,3,1,"Jan 26, 2016","[""'Adventure'""]",2016
12959,3.0,120,1,52,38,51,9,"Aug 27, 1993","[""'Puzzle'""]",1993
12960,3.2,1,0,3,1,3,0,"Apr 05, 1996","[""'Adventure'"", ""'Simulator'""]",1996
12961,3.2,1,0,2,0,2,0,"Feb 21, 2019","[""'Arcade'"", ""'Indie'"", ""'Racing'"", ""'Simulator'"", ""'Sport'""]",2019
12962,2.5,98,3,20,31,36,23,"Mar 16, 2022","[""'Simulator'"", ""'Sport'""]",2022
12963,2.7,7,0,2,2,6,0,"Nov 17, 2020","[""'Indie'""]",2020
12964,3.2,0,0,1,1,2,0,"Dec 31, 2021","[""'Indie'""]",2021
12965,3.2,0,0,1,1,0,0,"Mar 06, 2020","[""'Indie'""]",2020
12966,2.5,22,3,3,2,11,3,"Dec 02, 2016","[""'Card & Board Game'"", ""'RPG'"", ""'Strategy'"", ""'Turn Based Strategy'"", ""'Visual Novel'""]",2016
12967,3.2,1,1,1,0,0,0,"Sep 24, 2021","[""'Indie'""]",2021
12968,1.7,3,0,4,0,3,1,"Nov 15, 2021","[""'Simulator'""]",2021
12969,3.2,0,0,1,1,0,0,"Sep 24, 2022","[""'Indie'"", ""'Simulator'""]",2022
12970,3.2,5,0,1,1,3,0,"Apr 08, 1999","[""'Arcade'""]",1999
12971,3.2,2,1,0,0,4,1,"Nov 01, 2013",[],2013
