"Rating","Plays","Playing","Backlogs","Wishlist","Lists","Reviews","Release_Date","Genres"
"3.8","4.5K","532","2.8K","1.6K","775","380","Jul 16, 2021","['Adventure', 'RPG']"
"4.0","11K","94","1.6K","800","1.1K","359","Mar 13, 2007","['Adventure', 'Brawler', 'Platform']"
"4.1","3.6K","400","2.6K","1.8K","1K","402","Dec 13, 2018","['Adventure', 'RPG']"
"3.3","11K","63","2K","642","756","449","Mar 18, 2014","['Adventure', 'RPG', 'Shooter', 'Strategy']"
"3.8","15K","66","759","332","1.1K","562","Nov 12, 2012","['Shooter']"
"3.8","8.6K","392","3.4K","1.1K","831","487","Dec 01, 2014","['Adventure', 'Indie']"
"2.4","4.5K","61","824","868","566","480","Aug 19, 2021","['Adventure', 'Indie', 'Point-and-Click', 'Puzzle']"
"3.7","6.2K","214","3K","1.2K","952","421","May 14, 2019","['Adventure', 'RPG']"
"2.5","8.9K","225","2.1K","655","1.1K","534","Oct 02, 2012","['Adventure', 'Shooter']"
"4.6","2.9K","503","789","437","472","370","Dec 07, 2021","['Adventure', 'RPG']"
"4.0","8.3K","224","2.4K","853","1.3K","428","Jun 29, 1998","['Adventure', 'Platform', 'Quiz/Trivia']"
"3.8","12K","56","1.5K","946","852","411","Oct 17, 2013","['Adventure', 'Indie']"
"4.4","4K","156","2K","1.3K","939","333","Jun 19, 2010","['Adventure', 'Puzzle']"
"3.7","5K","479","3.1K","1.2K","782","347","Sep 10, 2019","['Adventure', 'Brawler', 'Indie', 'Platform', 'RPG']"
"4.2","5.3K","784","3.4K","1.4K","995","396","Sep 27, 2019","['Adventure', 'RPG']"
